Loading file decode
0 0x800007d0: lui    sp, 0x80020000
407 0x80000080: addi   a0, zero, 32
408 0x80000084: bltu   a4, a0, 0x80000070
409 0x80000070: add    a1, sp, a4
410 0x80000074: lw     a1, 0(a1)
411 0x80000078: beq    a3, a1, 0x80000090
412 0x8000007c: addi   a4, a4, 4
413 0x80000080: addi   a0, zero, 32
414 0x80000084: bltu   a4, a0, 0x80000070
415 0x80000070: add    a1, sp, a4
416 0x80000074: lw     a1, 0(a1)
417 0x80000078: beq    a3, a1, 0x80000090
418 0x8000007c: addi   a4, a4, 4
419 0x80000080: addi   a0, zero, 32
420 0x80000084: bltu   a4, a0, 0x80000070
421 0x80000070: add    a1, sp, a4
422 0x80000074: lw     a1, 0(a1)
423 0x80000078: beq    a3, a1, 0x80000090
424 0x8000007c: addi   a4, a4, 4
425 0x80000080: addi   a0, zero, 32
426 0x80000084: bltu   a4, a0, 0x80000070
427 0x80000070: add    a1, sp, a4
428 0x80000074: lw     a1, 0(a1)
429 0x80000078: beq    a3, a1, 0x80000090
430 0x8000007c: addi   a4, a4, 4
431 0x80000080: addi   a0, zero, 32
432 0x80000084: bltu   a4, a0, 0x80000070
433 0x80000070: add    a1, sp, a4
434 0x80000074: lw     a1, 0(a1)
435 0x80000078: beq    a3, a1, 0x80000090
436 0x8000007c: addi   a4, a4, 4
437 0x80000080: addi   a0, zero, 32
438 0x80000084: bltu   a4, a0, 0x80000070
439 0x80000070: add    a1, sp, a4
440 0x80000074: lw     a1, 0(a1)
441 0x80000078: beq    a3, a1, 0x80000090
442 0x8000007c: addi   a4, a4, 4
443 0x80000080: addi   a0, zero, 32
444 0x80000084: bltu   a4, a0, 0x80000070
445 0x80000088: sw     a3, 0(a2)
446 0x8000008c: addi   a2, a2, 4
447 0x80000090: addi   a3, a3, 1
448 0x80000094: addi   a0, zero, 16
449 0x80000098: bltu   a3, a0, 0x8000006c
450 0x8000006c: addi   a4, zero, 0
451 0x80000070: add    a1, sp, a4
452 0x80000074: lw     a1, 0(a1)
453 0x80000078: beq    a3, a1, 0x80000090
454 0x8000007c: addi   a4, a4, 4
455 0x80000080: addi   a0, zero, 32
456 0x80000084: bltu   a4, a0, 0x80000070
457 0x80000070: add    a1, sp, a4
458 0x80000074: lw     a1, 0(a1)
459 0x80000078: beq    a3, a1, 0x80000090
460 0x8000007c: addi   a4, a4, 4
461 0x80000080: addi   a0, zero, 32
462 0x80000084: bltu   a4, a0, 0x80000070
463 0x80000070: add    a1, sp, a4
464 0x80000074: lw     a1, 0(a1)
465 0x80000078: beq    a3, a1, 0x80000090
466 0x80000090: addi   a3, a3, 1
467 0x80000094: addi   a0, zero, 16
468 0x80000098: bltu   a3, a0, 0x8000006c
469 0x8000006c: addi   a4, zero, 0
470 0x80000070: add    a1, sp, a4
471 0x80000074: lw     a1, 0(a1)
472 0x80000078: beq    a3, a1, 0x80000090
473 0x8000007c: addi   a4, a4, 4
474 0x80000080: addi   a0, zero, 32
475 0x80000084: bltu   a4, a0, 0x80000070
476 0x80000070: add    a1, sp, a4
477 0x80000074: lw     a1, 0(a1)
478 0x80000078: beq    a3, a1, 0x80000090
